"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pin_2";"pin_3";"pin_4";"txt_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"82";"117";"Motor_3ph_1";"A";"pending";"170.08";"655.57";"1192.0";"871.0";"+A
-M?";"U1";"V1";"W1";"PE";"P = ??kW
In = ?,?A
n = ???? 1/min";"100";"29";"= 427";"+ 400A";"press";"central hydraulic band control";"427M?"
"83";"126";"Motor_3ph_1";"A";"pending";"170.08";"700.92";"1192.0";"871.0";"+A
-M01";"U";"V";"W";"PE";"P = ?,?kW
In = ?,?A
n = ???? 1/min";"98";"21";"= 414";"+ 400H10";"forming machine C";"transport belt to matformer C";"414M01"
"84";"127";"Motor_3ph_1";"A";"pending";"170.08";"700.92";"1192.0";"871.0";"+A
-M02";"U";"V";"W";"PE";"P = ?,?kW
In = ?,?A
n = ???? 1/min";"99";"21";"= 414";"+ 400H10";"forming machine C";"transport belt ??";"414M02"
"85";"128";"Motor_3ph_1";"A";"pending";"170.08";"700.92";"1192.0";"871.0";"+A
-M3";"U";"V";"W";"PE";"P = 1,5kW
In = 3,7A
= 568 - 2272 1/min";"100";"21";"= 414";"+ 400H10";"forming machine C";"pinned roll";"414M3"
"86";"130";"Motor_3ph_1";"A";"pending";"170.08";"723.6";"1192.0";"871.0";"+A
-M5";"U";"V";"W";"PE";"P = 0,37kW
In = 1,3A
= 552 - 2208 1/min
1. cage type roller";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"87";"130";"Motor_3ph_1";"A";"pending";"374.17";"723.6";"1192.0";"871.0";"+A
-M6";"U";"V";"W";"PE";"P = 0,37kW
In = 1,3A
= 552 - 2208 1/min
4. cage type roller";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"88";"132";"Motor_3ph_1";"A";"pending";"170.08";"723.6";"1192.0";"871.0";"+A
-M7";"U";"V";"W";"PE";"P = 0,37kW
In = 1,3A
= 552 - 2208 1/min
1. cage type roller";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"89";"132";"Motor_3ph_1";"A";"pending";"374.17";"723.6";"1192.0";"871.0";"+A
-M8";"U";"V";"W";"PE";"P = 0,37kW
In = 1,3A
= 552 - 2208 1/min
4. cage type roller";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"90";"134";"Motor_3ph_1";"A";"pending";"170.08";"700.92";"1192.0";"871.0";"+A
-M10";"U";"V";"W";"PE";"P = 0,75kW
In = 2,2A
n = 1380 1/min";"109";"21";"= 414";"+ 400H10";"forming machine C";"dosing belt cleaning brush";"414M10"
"91";"135";"Motor_3ph_1";"A";"pending";"170.08";"700.92";"1192.0";"871.0";"+A
-M11";"U";"V";"W";"PE";"P = 2,2kW
In = 5,2A
n = 1430 1/min";"110";"21";"= 414";"+ 400H10";"forming machine C";"rotary combs";"414M11"
"92";"136";"Motor_3ph_1";"A";"pending";"170.08";"700.92";"1192.0";"871.0";"+A
-M13";"U";"V";"W";"PE";"P = 1,1kW
In = 2,85A";"111";"21";"= 414";"+ 400H10";"forming machine C";"pinned roll";"414M13"
