"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"style";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"92";"37";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"362.83";"655.57";"1192.0";"871.0";"";"L3.20+";"";"7j";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK3";""
"93";"37";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"453.54";"542.18";"1192.0";"871.0";"";"L5-";"";"7j";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK3";""
"94";"37";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"453.54";"655.57";"1192.0";"871.0";"";"L5-";"";"7j";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK3";""
"95";"37";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"532.91";"542.18";"1192.0";"871.0";"";"L5.13+";"";"7j";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK3";""
"96";"37";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"532.91";"655.57";"1192.0";"871.0";"";"L5.13+";"";"7j";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK3";""
"97";"37";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"623.62";"542.18";"1192.0";"871.0";"";"spare";"";"7j";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK3";""
"98";"37";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"623.62";"655.57";"1192.0";"871.0";"";"spare";"";"7j";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK3";""
"99";"38";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"272.13";"542.18";"1192.0";"871.0";"";"L3.10+";"";"7k";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK4";""
"100";"38";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"272.13";"655.57";"1192.0";"871.0";"";"L3.10+";"";"7k";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK4";""
"101";"38";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"362.83";"542.18";"1192.0";"871.0";"";"L3.20+";"";"7k";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK4";""
"102";"38";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"362.83";"655.57";"1192.0";"871.0";"";"L3.20+";"";"7k";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK4";""
"103";"38";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"453.54";"542.18";"1192.0";"871.0";"";"L5-";"";"7k";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK4";""
"104";"38";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"453.54";"655.57";"1192.0";"871.0";"";"L5-";"";"7k";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK4";""
"105";"38";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"532.91";"542.18";"1192.0";"871.0";"";"L5.13+";"";"7k";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK4";""
"106";"38";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"532.91";"655.57";"1192.0";"871.0";"";"L5.13+";"";"7k";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK4";""
"107";"38";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"623.62";"542.18";"1192.0";"871.0";"";"spare";"";"7k";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK4";""
"108";"38";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"623.62";"655.57";"1192.0";"871.0";"";"spare";"";"7k";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK4";""
"109";"39";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"272.13";"542.18";"1192.0";"871.0";"";"L3.10+";"";"7l";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK1";""
"110";"39";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"272.13";"655.57";"1192.0";"871.0";"";"L3.10+";"";"7l";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK1";""
"111";"39";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"362.83";"542.18";"1192.0";"871.0";"";"L3.20+";"";"7l";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK1";""
"112";"39";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"362.83";"655.57";"1192.0";"871.0";"";"L3.20+";"";"7l";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK1";""
"113";"39";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"453.54";"542.18";"1192.0";"871.0";"";"L5-";"";"7l";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK1";""
"114";"39";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"453.54";"655.57";"1192.0";"871.0";"";"L5-";"";"7l";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK1";""
"115";"39";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"532.91";"542.18";"1192.0";"871.0";"";"L5.14+";"";"7l";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK1";""
