"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"link";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"62";"40";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"272.13";"729.27";"1192.0";"871.0";"L3.10+";"L3.10+";"7m";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK4";""
"63";"41";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"192.76";"695.25";"1192.0";"871.0";"L3-";"L3-";"7n";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK5";""
"64";"41";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"362.83";"695.25";"1192.0";"871.0";"L3.20+";"L3.20+";"7n";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK5";""
"65";"41";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"453.54";"695.25";"1192.0";"871.0";"L5-";"L5-";"7n";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK5";""
"66";"41";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"532.91";"695.25";"1192.0";"871.0";"L5.14+";"L5.14+";"7n";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK5";""
"67";"41";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"272.13";"695.25";"1192.0";"871.0";"L3.10+";"L3.10+";"7n";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK5";""
"68";"42";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"192.76";"695.25";"1192.0";"871.0";"L3-";"L3-";"7o";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK6";""
"69";"42";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"362.83";"695.25";"1192.0";"871.0";"L3.20+";"L3.20+";"7o";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK6";""
"70";"42";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"453.54";"695.25";"1192.0";"871.0";"L5-";"L5-";"7o";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK6";""
"71";"42";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"532.91";"695.25";"1192.0";"871.0";"L5.14+";"L5.14+";"7o";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK6";""
"72";"42";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"272.13";"695.25";"1192.0";"871.0";"L3.10+";"L3.10+";"7o";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK6";""
"73";"46";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"158.74";"763.28";"1192.0";"871.0";"L3-";"L3-";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"74";"46";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"272.13";"763.28";"1192.0";"871.0";"L4-";"L4-";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"75";"46";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"317.48";"763.28";"1192.0";"871.0";"L4.11+";"L4.11+";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"76";"46";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"204.09";"763.28";"1192.0";"871.0";"L3.12+";"L3.12+";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"77";"46";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"532.91";"763.28";"1192.0";"871.0";"L3-";"L3-";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"78";"46";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"748.35";"763.28";"1192.0";"871.0";"L4-";"L4-";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"79";"46";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"793.7";"763.28";"1192.0";"871.0";"L4.11+";"L4.11+";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"80";"46";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"578.27";"763.28";"1192.0";"871.0";"L3.12+";"L3.12+";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"81";"46";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"1009.13";"763.28";"1192.0";"871.0";"L3-";"L3-";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"82";"46";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"1054.49";"763.28";"1192.0";"871.0";"L3.12+";"L3.12+";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"83";"46";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"532.91";"366.43";"1192.0";"871.0";"L2.0";"L2.0";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"84";"46";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"702.99";"366.43";"1192.0";"871.0";"L01";"L01";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"85";"46";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"578.27";"366.43";"1192.0";"871.0";"L2.11";"L2.11";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"86";"46";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"646.3";"366.43";"1192.0";"871.0";"L02";"L02";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"87";"46";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"1065.83";"366.43";"1192.0";"871.0";"L01";"L01";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"88";"46";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"1009.13";"366.43";"1192.0";"871.0";"L02";"L02";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"89";"47";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"158.74";"763.28";"1192.0";"871.0";"L3-";"L3-";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"90";"47";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"272.13";"763.28";"1192.0";"871.0";"L4-";"L4-";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"91";"47";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"317.48";"763.28";"1192.0";"871.0";"L4.11+";"L4.11+";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"92";"47";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"204.09";"763.28";"1192.0";"871.0";"L3.12+";"L3.12+";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"93";"47";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"532.91";"763.28";"1192.0";"871.0";"L3-";"L3-";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"94";"47";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"748.35";"763.28";"1192.0";"871.0";"L4-";"L4-";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
