"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"84";"17";"BusBar_Con_Down";"A";"approved";"192.76";"80.13";"1192.0";"871.0";"1L2.13";"11";"23";"= 411";"+ 400A";"forming machine A";"distrbution belt left";"411M15"
"85";"17";"BusBar_Con_Down";"A";"approved";"215.43";"91.47";"1192.0";"871.0";"1L3.13";"11";"23";"= 411";"+ 400A";"forming machine A";"distrbution belt left";"411M15"
"86";"17";"BusBar_Con_Down";"A";"approved";"238.11";"488.32";"1192.0";"871.0";"PE";"11";"23";"= 411";"+ 400A";"forming machine A";"distrbution belt left";"411M15"
"87";"18";"BusBar_Con_Down";"A";"approved";"170.08";"68.8";"1192.0";"871.0";"1L1.13";"12";"23";"= 411";"+ 400A";"forming machine A";"distrbution belt right";"411M16"
"88";"18";"BusBar_Con_Down";"A";"approved";"192.76";"80.13";"1192.0";"871.0";"1L2.13";"12";"23";"= 411";"+ 400A";"forming machine A";"distrbution belt right";"411M16"
"89";"18";"BusBar_Con_Down";"A";"approved";"215.43";"91.47";"1192.0";"871.0";"1L3.13";"12";"23";"= 411";"+ 400A";"forming machine A";"distrbution belt right";"411M16"
"90";"18";"BusBar_Con_Down";"A";"approved";"238.11";"488.32";"1192.0";"871.0";"PE";"12";"23";"= 411";"+ 400A";"forming machine A";"distrbution belt right";"411M16"
"91";"19";"BusBar_Con_Down";"A";"approved";"170.08";"68.8";"1192.0";"871.0";"1L1.13";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"92";"19";"BusBar_Con_Down";"A";"approved";"192.76";"80.13";"1192.0";"871.0";"1L2.13";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"93";"19";"BusBar_Con_Down";"A";"approved";"215.43";"91.47";"1192.0";"871.0";"1L3.13";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"94";"19";"BusBar_Con_Down";"A";"approved";"272.13";"522.34";"1192.0";"871.0";"PE";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"95";"19";"BusBar_Con_Down";"A";"approved";"589.61";"522.34";"1192.0";"871.0";"PE";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"96";"21";"BusBar_Con_Down";"A";"approved";"170.08";"68.8";"1192.0";"871.0";"1L1.13";"14";"23";"= 411";"+ 400A";"forming machine A";"2nd & 3rd screen vibrator";"411M18, 411M19"
"97";"21";"BusBar_Con_Down";"A";"approved";"192.76";"80.13";"1192.0";"871.0";"1L2.13";"14";"23";"= 411";"+ 400A";"forming machine A";"2nd & 3rd screen vibrator";"411M18, 411M19"
"98";"21";"BusBar_Con_Down";"A";"approved";"215.43";"91.47";"1192.0";"871.0";"1L3.13";"14";"23";"= 411";"+ 400A";"forming machine A";"2nd & 3rd screen vibrator";"411M18, 411M19"
"99";"21";"BusBar_Con_Down";"A";"approved";"385.51";"68.8";"1192.0";"871.0";"1L1.13";"14";"23";"= 411";"+ 400A";"forming machine A";"2nd & 3rd screen vibrator";"411M18, 411M19"
"100";"21";"BusBar_Con_Down";"A";"approved";"408.19";"80.13";"1192.0";"871.0";"1L2.13";"14";"23";"= 411";"+ 400A";"forming machine A";"2nd & 3rd screen vibrator";"411M18, 411M19"
"101";"21";"BusBar_Con_Down";"A";"approved";"430.87";"91.47";"1192.0";"871.0";"1L3.13";"14";"23";"= 411";"+ 400A";"forming machine A";"2nd & 3rd screen vibrator";"411M18, 411M19"
"102";"21";"BusBar_Con_Down";"A";"approved";"238.11";"488.32";"1192.0";"871.0";"PE";"14";"23";"= 411";"+ 400A";"forming machine A";"2nd & 3rd screen vibrator";"411M18, 411M19"
"103";"21";"BusBar_Con_Down";"A";"approved";"453.54";"488.32";"1192.0";"871.0";"PE";"14";"23";"= 411";"+ 400A";"forming machine A";"2nd & 3rd screen vibrator";"411M18, 411M19"
"104";"22";"BusBar_Con_Down";"A";"approved";"170.08";"68.8";"1192.0";"871.0";"1L1.13";"15";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M20"
"105";"22";"BusBar_Con_Down";"A";"approved";"192.76";"80.13";"1192.0";"871.0";"1L2.13";"15";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M20"
"106";"22";"BusBar_Con_Down";"A";"approved";"215.43";"91.47";"1192.0";"871.0";"1L3.13";"15";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M20"
"107";"22";"BusBar_Con_Down";"A";"approved";"238.11";"488.32";"1192.0";"871.0";"PE";"15";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M20"
