"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"style";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"100";"35";"X_Simple_V_3_Left_SZ";"A";"approved";"646.3";"542.18";"1192.0";"871.0";"";"spare";"";"7h";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK1";""
"101";"35";"X_Simple_V_3_Left_SZ";"A";"approved";"646.3";"655.57";"1192.0";"871.0";"";"spare";"";"7h";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK1";""
"102";"36";"X_Simple_V_3_Left_SZ";"A";"approved";"215.43";"542.18";"1192.0";"871.0";"";"L3-";"";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";""
"103";"36";"X_Simple_V_3_Left_SZ";"A";"approved";"215.43";"655.57";"1192.0";"871.0";"";"L3-";"";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";""
"104";"36";"X_Simple_V_3_Left_SZ";"A";"approved";"306.14";"542.18";"1192.0";"871.0";"";"L3.10+";"";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";""
"105";"36";"X_Simple_V_3_Left_SZ";"A";"approved";"306.14";"655.57";"1192.0";"871.0";"";"L3.10+";"";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";""
"106";"36";"X_Simple_V_3_Left_SZ";"A";"approved";"396.85";"542.18";"1192.0";"871.0";"";"L3.20+";"";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";""
"107";"36";"X_Simple_V_3_Left_SZ";"A";"approved";"396.85";"655.57";"1192.0";"871.0";"";"L3.20+";"";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";""
"108";"36";"X_Simple_V_3_Left_SZ";"A";"approved";"476.22";"542.18";"1192.0";"871.0";"";"L5-";"";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";""
"109";"36";"X_Simple_V_3_Left_SZ";"A";"approved";"476.22";"655.57";"1192.0";"871.0";"";"L5-";"";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";""
"110";"36";"X_Simple_V_3_Left_SZ";"A";"approved";"566.93";"542.18";"1192.0";"871.0";"";"L5.13+";"";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";""
"111";"36";"X_Simple_V_3_Left_SZ";"A";"approved";"566.93";"655.57";"1192.0";"871.0";"";"L5.13+";"";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";""
"112";"36";"X_Simple_V_3_Left_SZ";"A";"approved";"646.3";"542.18";"1192.0";"871.0";"";"spare";"";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";""
"113";"36";"X_Simple_V_3_Left_SZ";"A";"approved";"646.3";"655.57";"1192.0";"871.0";"";"spare";"";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";""
"114";"37";"X_Simple_V_3_Left_SZ";"A";"approved";"215.43";"542.18";"1192.0";"871.0";"";"L3-";"";"7j";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK3";""
"115";"37";"X_Simple_V_3_Left_SZ";"A";"approved";"215.43";"655.57";"1192.0";"871.0";"";"L3-";"";"7j";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK3";""
"116";"37";"X_Simple_V_3_Left_SZ";"A";"approved";"306.14";"542.18";"1192.0";"871.0";"";"L3.10+";"";"7j";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK3";""
"117";"37";"X_Simple_V_3_Left_SZ";"A";"approved";"306.14";"655.57";"1192.0";"871.0";"";"L3.10+";"";"7j";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK3";""
