"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"adr";"link";"plc";"Name";"var";"description";"pin";"ch";"style";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"61";"93";"O_SPS";"C";"approved";"1077.17";"190.68";"1192.0";"871.0";"A50.3";"/20d.0";"PLC-II";"-EG2.2/13";"Spare";"spare";"28";"CCHH 1199";"plc_DO";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"62";"93";"O_SPS";"C";"approved";"260.79";"372.1";"1192.0";"871.0";"A68.1";"/20d.8";"PLC-II";"-EG2.2/15";"Spare";"spare";"6";"CCHH 11";"plc_DO";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"63";"93";"O_SPS";"C";"approved";"124.72";"372.1";"1192.0";"871.0";"A68.0";"/20d.8";"PLC-II";"-EG2.2/15";"Spare";"spare";"4";"CCHH 00";"plc_DO";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"64";"93";"O_SPS";"C";"approved";"396.85";"372.1";"1192.0";"871.0";"A68.2";"/20d.8";"PLC-II";"-EG2.2/15";"Spare";"spare";"8";"CCHH 22";"plc_DO";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"65";"93";"O_SPS";"C";"approved";"532.91";"372.1";"1192.0";"871.0";"A68.3";"/20d.8";"PLC-II";"-EG2.2/15";"Spare";"spare";"10";"CCHH 33";"plc_DO";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"66";"93";"O_SPS";"C";"approved";"668.98";"372.1";"1192.0";"871.0";"A68.4";"/20d.8";"PLC-II";"-EG2.2/15";"Spare";"spare";"15";"CCHH 44";"plc_DO";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"67";"93";"O_SPS";"C";"approved";"805.04";"372.1";"1192.0";"871.0";"A68.5";"/20d.8";"PLC-II";"-EG2.2/15";"Spare";"spare";"17";"CCHH 55";"plc_DO";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"68";"93";"O_SPS";"C";"approved";"941.1";"372.1";"1192.0";"871.0";"A68.6";"/20d.8";"PLC-II";"-EG2.2/15";"Spare";"spare";"19";"CCHH 66";"plc_DO";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"69";"93";"O_SPS";"C";"approved";"396.85";"553.52";"1192.0";"871.0";"A69.3";"/20d.8";"PLC-II";"-EG2.2/15";"Spare";"spare";"33";"CCHH 1111";"plc_DO";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"70";"93";"O_SPS";"C";"approved";"260.79";"553.52";"1192.0";"871.0";"A69.2";"/20d.8";"PLC-II";"-EG2.2/15";"Spare";"spare";"31";"CCHH 1100";"plc_DO";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
