"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Page";"Sheets";"=";"+";"txt_1";"txt_2";"txt_3";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"30";"30";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"7c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 411TK1";"";"7c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 411TK1";""
"31";"31";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";"";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"32";"32";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";"";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"33";"33";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";"";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"34";"34";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";"";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
"35";"35";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"7h";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK1";"";"7h";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK1";""
"36";"36";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";"";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";""
"37";"37";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"7j";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK3";"";"7j";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK3";""
"38";"38";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"7k";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK4";"";"7k";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK4";""
"39";"39";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"7l";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK1";"";"7l";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK1";""
"40";"40";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"7m";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK4";"";"7m";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK4";""
